Question ID,Input,Output,Image Index,source,answer_type
1,What's the rightmost value of orange graph?,51,10240,human,numeric
2,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,10240,human,yes_no
3,What does the blue line represent?,Dem/Lean Dem,127,human,other_text
4,When do blue lines reach their peak?,2018,127,human,numeric
5,What's the value of blue graph in 2014?,19,3886,human,numeric
6,In which year the values of blue and green graph are same?,2014,3886,human,numeric
7,What's the leftmost value of confidence graph?,41,4425,human,numeric
8,Is the sum of first three value of blue graph greater than 200?,No,4425,human,yes_no
9,What's the color of graph whose rightmost value is 19?,Green,4605,human,other_text
10,Is the sum of two leftmost value of blue graph greater than 90?,No,4605,human,yes_no
11,What's the color of the graph whose lowest value is 31?,Blue,4612,human,other_text
12,In which time period the difference between blue and orange graph minimum?,Jan 2018,4612,human,other_text
13,What's the highest value of blue graph?,0.88,4637,human,numeric
14,Is the average of highest and lowest value of green bar greater than 80?,No,4637,human,yes_no
15,What color is the tallest thread?,blue,5686,human,other_text
16,What does the blue line represent?,Democrats,5686,human,other_text
17,Which line has a higher value in 2017?,Not too/Not at all fair,6148,human,other_text
18,What is the largest divergent amount between the two opinions across all years?,17,6148,human,numeric
19,What was the U.S. Hispanic population in 2010 (in millions)?,50.8,6390,human,numeric
20,Is the sum of two least population greater than population in 1990?,Yes,6390,human,yes_no
21,What is the Confidence value in the year 2017?,5,6529,human,numeric
22,What is the difference between the No confidence and the Confidence value in 2017?,88,6529,human,numeric
23,When does the satisfied line reach the peak?,2012,6530,human,numeric
24,How many times has the satisfied rate been above 25?,6,6530,human,numeric
25,Is the value of Favor graph 47 in Dec 2015?,Yes,9595,human,yes_no
26,What's the median value of Oppose graph?,49,9595,human,numeric
27,"Is the color of the graph orange, whose lowest value is 4?",No,9810,human,yes_no
28,In which year the difference between orange and green graph is maximum?,2002,9810,human,numeric
29,Is the value that have favorable views for US in 2013 more then 2015?,No,9845,human,yes_no
30,By how much is the views of the US Favouable from Unfavorable in the year 2015?,0.42,9845,human,numeric
31,What is the colour of No answer?,gray,1072,human,other_text
32,"Is the sum total of No answer ,State and local level and National level more then Bothe equally?",No,1072,human,yes_no
33,What is the highest value the brown segment represents?,60.6,11925,human,numeric
34,Is the value in 1980 more then 2010?,No,11925,human,yes_no
35,What does Grey segment represents?,As important and powerful role as 10 years ago,12020,human,other_text
36,Is the highest value in Less important and powerful role than 10 years ago more then the highest value in More important and powerful role than 10 years ago?,Yes,12020,human,yes_no
37,Bad and Good line crossed each other after which year?,2007,12044,human,numeric
38,How many green data points exceed 40 value?,3,12044,human,numeric
39,What is the mode of the blue line data?,20,12218,human,numeric
40,How by much larger is the most anti-incumbent sentiment of the Rep supporters compared with that of the Dem supporters?,5,12218,human,numeric
41,Is Bad and Good graph crossed each other after 2013?,Yes,12459,human,yes_no
42,What's the ratio of smallest orange and green data point?,1.09375,12459,human,numeric
43,What does the green color represent?,Satisfied,12504,human,other_text
44,How many satisfied data points are below 60%?,8,12504,human,numeric
45,What's the rightmost value of dark brown graph?,64,14519,human,numeric
46,What's the median of first three data points of dark brown line?,60,14519,human,numeric
47,Which line represents Romney?,Red,15829,human,other_text
48,What is the sum of the largest difference and the smallest difference in opinions between the two candidates?,18,15829,human,numeric
49,What's the highest value of red line?,80,16988,human,numeric
50,What's the total value of highiest value of both red and yellow line?,148,16988,human,numeric
51,After which years the two lines crosses?,2008,17454,human,numeric
52,What's the lowest value of control gun ownership?,50,17454,human,numeric
53,What's the color of graph which is higher in 2010?,Red,18102,human,other_text
54,What's the average of largest red data point and leftmost blue data point?,53,18102,human,numeric
55,What's the percentage value of U.S. adults who have heard a lot about facial recognition technology?,25,2852,human,numeric
56,Is the value of largest segment greater than sum of other two?,Yes,2852,human,yes_no
57,What is the percentage of Lawful Immigrants under U.S. Foreign-born population?,0.77,819,human,numeric
58,"As per the graph, is the share of Temporary lawful residents lowest?",Yes,819,human,yes_no
59,How many friends does 6% show in a Pie graph?,1,10209,human,numeric
60,Is the value of No friends more then more then 5 friends?,Yes,10209,human,yes_no
61,What is the color of smallest segment?,gray,10812,human,other_text
62,Is the largest segment value is greater then the sum of all two smallest segment?,Yes,10812,human,yes_no
63,How many segments are smaller than 10%?,3,11775,human,numeric
64,"Take sum of three smallest segment, multiply it 5, is the result greater than largest segment?",No,11775,human,yes_no
65,Is the color of largest segment yellow?,Yes,11989,human,yes_no
66,What's the ratio of second and third smallest segment?,0.04375,11989,human,numeric
67,What is the percentage of Approved of work permit and deportation relief?,553197,12113,human,numeric
68,Is the Denial values the least value in the Pie chart?,Yes,12113,human,yes_no
69,Is the color of Don't know segment grey?,Yes,12687,human,yes_no
70,What's the product of two smallest segment?,110,12687,human,numeric
71,What's the color of largest segment?,Orange,12937,human,other_text
72,"Take sum of two smallest segment, multiply it by 2, is the result greater than largest segment?",No,12937,human,yes_no
73,What is the percentage of Not much control?,0.37,5263,human,numeric
74,What is the ratio between Refused and A lot of control?,0.33,5263,human,numeric
75,Is the percetage value of largest segment 47?,Yes,7437,human,yes_no
76,What's the median of three largest segment?,30,7437,human,numeric
77,What's the percentage of U.S. adults who like seeing a lot of coverage of the presidential compaign and candidates?,39,7765,human,numeric
78,What's the ratio of second largest segment and sum of smallest and largest segment?,0.555555556,7765,human,numeric
79,What color does Heard a little show in Pie chart?,39,7881,human,numeric
80,What is the difference in value Heard nothing/Dk and Heard a little?,10,7881,human,numeric
81,Is the color of largest segment navy blue?,Yes,8714,human,yes_no
82,"Divide largest segment by smallest segment, is the result greater than smallest segment?",No,8714,human,yes_no
83,What's the color of the Dati segment in the chart?,Blue,9249,human,other_text
84,Is biggest segment greater than two times of smallest segment?,Yes,9249,human,yes_no
85,What's the percentage value of Should express segment?,50,9790,human,numeric
86,"Take average of two largest segment, divide it by smallest segment, what's the result?",12,9790,human,numeric
87,Is the color of largest segment light blue?,Yes,9796,human,yes_no
88,"Take difference between two largest segment, multiply it by smallest segment, what's the result?",16,9796,human,numeric
89,What's the percentage of all teens who have never been in a romantic relationship?,64,9891,human,numeric
90,What's the ratio of smallest and largest segment?,0.015625,9891,human,numeric
91,What is the color of Don't Know segment?,gray,13188,human,other_text
92,What is the difference between the two largest segments?,42,13188,human,numeric
93,What is the color of DK?,gray,13497,human,other_text
